Course,Day,Time_slot,Room_no
1,14,10:00 AM - 12:00PM,2
2,14,10:00 AM - 12:00PM,1
3,13,10:00 AM - 12:00PM,1
4,12,10:00 AM - 12:00PM,1
5,11,10:00 AM - 12:00PM,1
6,1,10:00 AM - 12:00PM,2
7,7,10:00 AM - 12:00PM,2
8,10,10:00 AM - 12:00PM,1
9,9,10:00 AM - 12:00PM,1
10,8,10:00 AM - 12:00PM,1
11,7,10:00 AM - 12:00PM,1
12,6,10:00 AM - 12:00PM,1
13,3,10:00 AM - 12:00PM,2
14,5,10:00 AM - 12:00PM,2
15,5,10:00 AM - 12:00PM,1
16,4,10:00 AM - 12:00PM,2
17,4,10:00 AM - 12:00PM,1
18,3,10:00 AM - 12:00PM,1
19,2,10:00 AM - 12:00PM,1
20,1,10:00 AM - 12:00PM,1
